Level,Date and Time,Source,Event ID,Task Category
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 8.0.8 (x64). Product Version: 64.32.18380. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2022 Setup (English). Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 pip Bootstrap (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Core Host - 3.1.17 (x64). Product Version: 24.68.30215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Shared Management Objects Extensions. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Shared Management Objects. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server Management Studio. Product Version: 20.2.30.0. Product Language: 1033. Manufacturer: Microsoft Corp.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Node.js. Product Version: 20.10.0. Product Language: 1033. Manufacturer: Node.js Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Core Host FX Resolver - 3.1.17 (x64). Product Version: 24.68.30215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30708. Product Version: 14.30.30708. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Visual Studio 2017 Isolated Shell for SSMS. Product Version: 15.0.28307.421. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2022 RsFx Driver. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) Management Engine Components. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 XEvent. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Batch Parser. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 8.0.8 (x64). Product Version: 64.32.18380. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: MySQL Server 8.1. Product Version: 8.1.0. Product Language: 1033. Manufacturer: Oracle Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Dell Power Manager Service. Product Version: 3.6.0. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: MySQL Workbench 8.0 CE. Product Version: 8.0.34. Product Language: 1033. Manufacturer: Oracle Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server Management Studio Language Pack - English. Product Version: 20.2.30.0. Product Language: 1033. Manufacturer: Microsoft Corp.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Core Runtime - 3.1.17 (x64). Product Version: 24.68.30215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft VSS Writer for SQL Server 2022. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 SQL Diagnostics. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 8.0.8 (x64). Product Version: 64.32.18380. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Database Engine Shared. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Add to Path (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030. Product Version: 11.0.61030. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Dell Digital Delivery Services. Product Version: 4.0.52.0. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Dell SupportAssist Remediation. Product Version: 5.1.1.11877. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005. Product Version: 12.0.21005. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161. Product Version: 9.0.30729.6161. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 DMF. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) Management Engine Driver. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005. Product Version: 12.0.21005. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Help Viewer 2.3. Product Version: 2.3.28307. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Browser for SQL Server 2022. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Analysis Services OLE DB Provider. Product Version: 16.0.5143.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1033,None,Windows Installer installed the product. Product Name: SQL Server 2022 Database Engine Services. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Installation success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Integration Runtime. Product Version: 5.48.9076.1. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Shared Management Objects Extensions. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Common Files. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:36,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Intel(R) Icls. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:35,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support. Product Version: 16.0.31110. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:35,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332. Product Version: 14.32.31332. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:35,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Standard Library (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
